pair_ID	pair_type	sentence_A	sentence_A_expRule	sentence_B	sentence_B_expRule	relatedness_score	entailment_label	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
2090	S1S4_intra	The interviewer is granting a break to the man	S4_ws	The man is granting an interview	S1_null	3.2	NEUTRAL	A_neutral_B	B_neutral_A	A man is giving an interview.	A man is giving an interview.	SEMEVAL	SEMEVAL	TRAIN
2091	S1S2_intra	A white car is being driven by the man	S1_null	A person is driving the white car	S2_toa,det	4.7	ENTAILMENT	A_entails_B	B_entails_A	The man is driving a white car.	The man is driving a white car.	SEMEVAL	SEMEVAL	TRAIN
2092	S1S3_intra	There is no white car being driven by the man	S3_od	A white car is being driven by the man	S1_null	3.5	CONTRADICTION	A_contradicts_B	B_contradicts_A	The man is driving a white car.	The man is driving a white car.	SEMEVAL	SEMEVAL	TRAIN
2093	S1S4_intra	A white car is being driven by the man	S1_null	A man's white car is being driven away	S4_ws	4.2	ENTAILMENT	A_entails_B	B_neutral_A	The man is driving a white car.	The man is driving a white car.	SEMEVAL	SEMEVAL	TEST
2094	unrel	The man is granting an interview	S1_null	A person is driving the white car	S2_null	1.1	NEUTRAL	A_neutral_B	B_neutral_A	A man is giving an interview.	The man is driving a white car.	SEMEVAL	SEMEVAL	TRAIN
2095	unrel	The man is granting an interview	S1_null	There is no white car being driven by the man	S3_null	1	NEUTRAL	A_neutral_B	B_neutral_A	A man is giving an interview.	The man is driving a white car.	SEMEVAL	SEMEVAL	TEST
2096	unrel	The man is granting an interview	S1_null	A man's white car is being driven away	S4_null	1.1	NEUTRAL	A_neutral_B	B_neutral_A	The man is driving a white car.	The man is driving a white car.	SEMEVAL	SEMEVAL	TRIAL
2097	unrel	A white car is being driven by the man	S1_null	An interview is being granted by the man	S2_null	1.45	NEUTRAL	A_neutral_B	B_neutral_A	A man is giving an interview.	The man is driving a white car.	SEMEVAL	SEMEVAL	TRAIN
2098	unrel	The man is denying an interview	S3_null	A white car is being driven by the man	S1_null	1	NEUTRAL	A_neutral_B	B_neutral_A	The man is driving a white car.	A man is giving an interview.	SEMEVAL	SEMEVAL	TRAIN
2099	unrel	A white car is being driven by the man	S1_null	The interviewer is granting a break to the man	S4_null	1.6	NEUTRAL	A_neutral_B	B_neutral_A	The man is driving a white car.	A man is giving an interview.	SEMEVAL	SEMEVAL	TEST
2100	unrel	The man is granting an interview	S1_null	A white car is being driven by the man	S1_null	1.2	NEUTRAL	A_neutral_B	B_neutral_A	A man is giving an interview.	The man is driving a white car.	SEMEVAL	SEMEVAL	TRAIN
2101	S1S2_intra	A cord is being climbed by a man	S2_lex	A rope is being climbed by a man	S1_null	4.2	ENTAILMENT	A_entails_B	B_neutral_A	A man is climbing a rope.	A man is climbing a rope.	SEMEVAL	SEMEVAL	TEST
2102	S1S3_intra	There is no rope being climbed by a man	S3_od	A rope is being climbed by a man	S1_null	3.8	CONTRADICTION	A_contradicts_B	B_contradicts_A	A man is climbing a rope.	A man is climbing a rope.	SEMEVAL	SEMEVAL	TRAIN
2103	S1S4_intra	A man is being roped by a climber	S4_ws	A rope is being climbed by a man	S1_null	3.3	NEUTRAL	A_neutral_B	B_neutral_A	A man is climbing a rope.	A man is climbing a rope.	SEMEVAL	SEMEVAL	TRAIN
2104	S1S2_intra	A man is mindlessly slicing the carrot with a machine	S2_aa	A man is slicing the carrot with a machine	S1_null	4.3	ENTAILMENT	A_entails_B	B_neutral_A	A man is slicing a carrot by a machine.	A man is slicing a carrot by a machine.	SEMEVAL	SEMEVAL	TRAIN
2105	S1S3_intra	A man is removing a carrot from a machine	S3_so	A man is slicing the carrot with a machine	S1_null	3.2	NEUTRAL	A_neutral_B	B_neutral_A	A man is slicing a carrot by a machine.	A man is slicing a carrot by a machine.	SEMEVAL	SEMEVAL	TRAIN
2106	S1S4_intra	A man is eating a carrot sliced by a machine	S4_ws	A man is slicing the carrot with a machine	S1_null	3.6	NEUTRAL	A_neutral_B	B_neutral_A	A man is slicing a carrot by a machine.	A man is slicing a carrot by a machine.	SEMEVAL	SEMEVAL	TEST
2107	unrel	A rope is being climbed by a man	S1_null	A man is mindlessly slicing the carrot with a machine	S2_null	1.1	NEUTRAL	A_neutral_B	B_neutral_A	A man is climbing a rope.	A man is slicing a carrot by a machine.	SEMEVAL	SEMEVAL	TRAIN
2108	unrel	A man is removing a carrot from a machine	S3_null	A rope is being climbed by a man	S1_null	1.5	NEUTRAL	A_neutral_B	B_neutral_A	A man is climbing a rope.	A man is slicing a carrot by a machine.	SEMEVAL	SEMEVAL	TEST
2109	unrel	A rope is being climbed by a man	S1_null	A man is eating a carrot sliced by a machine	S4_null	1	NEUTRAL	A_neutral_B	B_neutral_A	A man is slicing a carrot by a machine.	A man is slicing a carrot by a machine.	SEMEVAL	SEMEVAL	TRAIN
2110	unrel	A cord is being climbed by a man	S2_null	A man is slicing the carrot with a machine	S1_null	1.1	NEUTRAL	A_neutral_B	B_neutral_A	A man is climbing a rope.	A man is slicing a carrot by a machine.	SEMEVAL	SEMEVAL	TEST
2111	unrel	There is no rope being climbed by a man	S3_null	A man is slicing the carrot with a machine	S1_null	1.1	NEUTRAL	A_neutral_B	B_neutral_A	A man is slicing a carrot by a machine.	A man is climbing a rope.	SEMEVAL	SEMEVAL	TEST
2112	unrel	A man is slicing the carrot with a machine	S1_null	A man is being roped by a climber	S4_null	1.2	NEUTRAL	A_neutral_B	B_neutral_A	A man is slicing a carrot by a machine.	A man is climbing a rope.	SEMEVAL	SEMEVAL	TRAIN
2113	unrel	A rope is being climbed by a man	S1_null	A man is slicing the carrot with a machine	S1_null	1.3	NEUTRAL	A_neutral_B	B_neutral_A	A man is climbing a rope.	A man is slicing a carrot by a machine.	SEMEVAL	SEMEVAL	TRAIN
2114	S1S2_intra	The cat is licking a shallow dish full of milk	S2_expn	The cat is licking milk from a saucer	S1_null	4.2	NEUTRAL	A_neutral_B	B_neutral_A	A cat is licking from a saucer of milk.	A cat is licking from a saucer of milk.	SEMEVAL	SEMEVAL	TEST
2115	S1S3_intra	The cat is licking milk from a saucer	S1_null	The cat isn't licking milk from a saucer	S3_inv	3.4	CONTRADICTION	A_contradicts_B	B_contradicts_A	A cat is licking from a saucer of milk.	A cat is licking from a saucer of milk.	SEMEVAL	SEMEVAL	TRAIN
2116	S1S4_intra	The cat is licking milk from a saucer	S1_null	A lick of milk sauce is being given to the cat	S4_ws	3.7	NEUTRAL	A_neutral_B	B_neutral_A	A cat is licking from a saucer of milk.	A cat is licking from a saucer of milk.	SEMEVAL	SEMEVAL	TEST
2117	S1S2_intra	Some milk is being hungrily drunk by a cat	S2_top,det	The cat is hungrily drinking milk	S1_null	4.8	ENTAILMENT	A_entails_B	B_entails_A	The cat is drinking milk.	The cat is drinking milk.	SEMEVAL	SEMEVAL	TRAIN
2118	S1S3_intra	There is no cat hungrily drinking milk	S3_od	The cat is hungrily drinking milk	S1_null	3.7	CONTRADICTION	A_contradicts_B	B_contradicts_A	The cat is drinking milk.	The cat is drinking milk.	SEMEVAL	SEMEVAL	TRAIN
2119	S1S4_intra	The cat is hungrily drinking milk	S1_null	Drinking milk helps a cat's hunger	S4_ws	3.3	NEUTRAL	A_neutral_B	B_neutral_A	The cat is drinking milk.	The cat is drinking milk.	SEMEVAL	SEMEVAL	TRAIN
2120	S1S2_inter	The cat is licking milk from a saucer	S1_null	Some milk is being hungrily drunk by a cat	S2_null	4.4	NEUTRAL	A_neutral_B	B_neutral_A	A cat is licking from a saucer of milk.	The cat is drinking milk.	SEMEVAL	SEMEVAL	TEST
2121	S1S3_inter	The cat is licking milk from a saucer	S1_null	There is no cat hungrily drinking milk	S3_null	2.6	CONTRADICTION	A_contradicts_B	B_contradicts_A	A cat is licking from a saucer of milk.	The cat is drinking milk.	SEMEVAL	SEMEVAL	TRAIN
2122	S1S4_inter	Drinking milk helps a cat's hunger	S4_null	The cat is licking milk from a saucer	S1_null	3.4	NEUTRAL	A_neutral_B	B_neutral_A	A cat is licking from a saucer of milk.	The cat is drinking milk.	SEMEVAL	SEMEVAL	TRAIN
2123	S1S2_inter	The cat is licking a shallow dish full of milk	S2_null	The cat is hungrily drinking milk	S1_null	4.1	NEUTRAL	A_neutral_B	B_neutral_A	The cat is drinking milk.	A cat is licking from a saucer of milk.	SEMEVAL	SEMEVAL	TRAIN
2124	S1S3_inter	The cat isn't licking milk from a saucer	S3_null	The cat is hungrily drinking milk	S1_null	4.3	NEUTRAL	A_contradicts_B	B_neutral_A	The cat is drinking milk.	A cat is licking from a saucer of milk.	SEMEVAL	SEMEVAL	TRAIN
2125	S1S4_inter	The cat is hungrily drinking milk	S1_null	A lick of milk sauce is being given to the cat	S4_null	3.7	NEUTRAL	A_neutral_B	B_neutral_A	The cat is drinking milk.	A cat is licking from a saucer of milk.	SEMEVAL	SEMEVAL	TRAIN
2126	S1S1_inter	The cat is licking milk from a saucer	S1_null	The cat is hungrily drinking milk	S1_null	4.3	NEUTRAL	A_neutral_B	B_neutral_A	A cat is licking from a saucer of milk.	The cat is drinking milk.	SEMEVAL	SEMEVAL	TEST
2127	S1S2_intra	A baby is cheerfully playing with a dog	S2_aa	A baby is playing with a dog 	S1_null	4.7	ENTAILMENT	A_entails_B	B_neutral_A	a baby is playing with a dog	a baby is playing with a dog	SEMEVAL	SEMEVAL	TEST
2128	S1S3_intra	There is no baby playing with a dog	S3_od	A baby is playing with a dog 	S1_null	3.8	CONTRADICTION	A_contradicts_B	B_contradicts_A	a baby is playing with a dog	a baby is playing with a dog	SEMEVAL	SEMEVAL	TEST
2129	S1S2_intra	A small boy is playing with a dog	S1_null	The small boy is playing with the dog	S2_det	5	ENTAILMENT	A_entails_B	B_entails_A	a small boy is playing with a dog	a small boy is playing with a dog	SEMEVAL	SEMEVAL	TEST
2130	S1S3_intra	A small boy is scolding a dog	S3_so	A small boy is playing with a dog	S1_null	3.4	NEUTRAL	A_neutral_B	B_neutral_A	a small boy is playing with a dog	a small boy is playing with a dog	SEMEVAL	SEMEVAL	TRIAL
2131	S1S2_inter	A baby is playing with a dog 	S1_null	The small boy is playing with the dog	S2_null	4.2	NEUTRAL	A_neutral_B	B_neutral_A	a baby is playing with a dog	a small boy is playing with a dog	SEMEVAL	SEMEVAL	TEST
2132	S1S3_inter	A baby is playing with a dog 	S1_null	A small boy is scolding a dog	S3_null	3	NEUTRAL	A_neutral_B	B_neutral_A	a baby is playing with a dog	a small boy is playing with a dog	SEMEVAL	SEMEVAL	TRAIN
2133	S1S2_inter	A baby is cheerfully playing with a dog	S2_null	A small boy is playing with a dog	S1_null	4.5	NEUTRAL	A_neutral_B	B_neutral_A	a baby is playing with a dog	a small boy is playing with a dog	SEMEVAL	SEMEVAL	TEST
2134	S1S3_inter	A small boy is playing with a dog	S1_null	There is no baby playing with a dog	S3_null	3.2	NEUTRAL	A_neutral_B	B_neutral_A	a small boy is playing with a dog	a baby is playing with a dog	SEMEVAL	SEMEVAL	TEST
2135	S1S1_inter	A small boy is playing with a dog	S1_null	A baby is playing with a dog 	S1_null	4.1	NEUTRAL	A_neutral_B	B_neutral_A	a baby is playing with a dog	a small boy is playing with a dog	SEMEVAL	SEMEVAL	TEST
2137	S1S3_intra	There is no woman peeling a potato	S3_od	A woman is peeling a potato	S1_null	2.8	CONTRADICTION	A_contradicts_B	B_contradicts_A	a woman is peeling potato	a woman is peeling potato	SEMEVAL	SEMEVAL	TEST
2138	S1S4_intra	A potato peel is falling over a woman	S4_ws	A woman is peeling a potato	S1_null	3.5	NEUTRAL	A_neutral_B	B_neutral_A	a woman is peeling potato	a woman is peeling potato	SEMEVAL	SEMEVAL	TEST
2139	S1S2_intra	The man is slicing some potatoes	S2_det	The man is slicing potatoes	S1_null	5	ENTAILMENT	A_entails_B	B_entails_A	a man is slicing potatoes	a man is slicing potatoes	SEMEVAL	SEMEVAL	TRAIN
2140	S1S3_intra	The man is not slicing potatoes	S3_inv	The man is slicing potatoes	S1_null	3.8	CONTRADICTION	A_contradicts_B	B_contradicts_A	a man is slicing potatoes	a man is slicing potatoes	SEMEVAL	SEMEVAL	TEST
2141	S1S4_intra	The man is eating potato slices	S4_ws	The man is slicing potatoes	S1_null	3.6	NEUTRAL	A_neutral_B	B_neutral_A	a man is slicing potatoes	a man is slicing potatoes	SEMEVAL	SEMEVAL	TRAIN
2142	S1S2_inter	A woman is peeling a potato	S1_null	The man is slicing some potatoes	S2_null	3.1	NEUTRAL	A_neutral_B	B_neutral_A	a woman is peeling potato	a man is slicing potatoes	SEMEVAL	SEMEVAL	TEST
2143	S1S3_inter	A woman is peeling a potato	S1_null	The man is not slicing potatoes	S3_null	3.1	NEUTRAL	A_neutral_B	B_neutral_A	a woman is peeling potato	a man is slicing potatoes	SEMEVAL	SEMEVAL	TEST
2144	S1S4_inter	A woman is peeling a potato	S1_null	The man is eating potato slices	S4_null	2.5	NEUTRAL	A_neutral_B	B_neutral_A	a woman is peeling potato	a man is slicing potatoes	SEMEVAL	SEMEVAL	TRAIN
2145	S1S2_inter	The man is slicing potatoes	S1_null	A potato is being peeled by a woman	S2_null	3.5	NEUTRAL	A_neutral_B	B_neutral_A	a man is slicing potatoes	a woman is peeling potato	SEMEVAL	SEMEVAL	TRAIN
2146	S1S3_inter	The man is slicing potatoes	S1_null	There is no woman peeling a potato	S3_null	3.4	NEUTRAL	A_neutral_B	B_neutral_A	a man is slicing potatoes	a woman is peeling potato	SEMEVAL	SEMEVAL	TRAIN
2147	S1S4_inter	A potato peel is falling over a woman	S4_null	The man is slicing potatoes	S1_null	2.2	NEUTRAL	A_neutral_B	B_neutral_A	a man is slicing potatoes	a woman is peeling potato	SEMEVAL	SEMEVAL	TEST
2148	S1S1_inter	The man is slicing potatoes	S1_null	A woman is peeling a potato	S1_null	3.4	NEUTRAL	A_neutral_B	B_neutral_A	a woman is peeling potato	a man is slicing potatoes	SEMEVAL	SEMEVAL	TRAIN
2149	S1S2_intra	A man is taking pictures of a lake	S1_null	A man is attentively taking pictures of a lake	S2_aa	4.7	ENTAILMENT	A_entails_B	B_entails_A	a man is taking pictures of a lake	a man is taking pictures of a lake	SEMEVAL	SEMEVAL	TEST
2150	S1S3_intra	A man is taking pictures of a lake	S1_null	A man is tearing up the pictures of a lake	S3_so	3.4	NEUTRAL	A_neutral_B	B_neutral_A	a man is taking pictures of a lake	a man is taking pictures of a lake	SEMEVAL	SEMEVAL	TRAIN
2151	S1S4_intra	The picture of a man is being taken near a lake	S4_ws	A man is taking pictures of a lake	S1_null	3.4	NEUTRAL	A_neutral_B	B_neutral_A	a man is taking pictures of a lake	a man is taking pictures of a lake	SEMEVAL	SEMEVAL	TEST
2152	S1S2_intra	The man is setting up the camera and taking sunset pictures at the beach	S1_null	The man is setting up the camera and takes pictures of the sunset at the beach	S2_expc	5	ENTAILMENT	A_entails_B	B_entails_A	the man set up his camera to take sunset pictures at the beach	the man set up his camera to take sunset pictures at the beach	SEMEVAL	SEMEVAL	TEST
2153	S1S3_intra	The man is setting up the camera and taking sunset pictures at the beach	S1_null	The man is putting away the camera and walks away from the beach	S3_so	3.5	CONTRADICTION	A_contradicts_B	B_contradicts_A	the man set up his camera to take sunset pictures at the beach	the man set up his camera to take sunset pictures at the beach	SEMEVAL	SEMEVAL	TRAIN
2154	S1S4_intra	The man is setting up the camera and taking sunset pictures at the beach	S1_null	The picture of a camera set up is being taken by a man on the beach at the sunset	S4_ws	4	ENTAILMENT	A_entails_B	B_neutral_A	the man set up his camera to take sunset pictures at the beach	the man set up his camera to take sunset pictures at the beach	SEMEVAL	SEMEVAL	TEST
2155	S1S2_inter	A man is taking pictures of a lake	S1_null	The man is setting up the camera and takes pictures of the sunset at the beach	S2_null	3.8	NEUTRAL	A_neutral_B	B_neutral_A	a man is taking pictures of a lake	the man set up his camera to take sunset pictures at the beach	SEMEVAL	SEMEVAL	TEST
2156	S1S3_inter	A man is taking pictures of a lake	S1_null	The man is putting away the camera and walks away from the beach	S3_null	2.5	NEUTRAL	A_neutral_B	B_neutral_A	a man is taking pictures of a lake	the man set up his camera to take sunset pictures at the beach	SEMEVAL	SEMEVAL	TEST
2157	S1S4_inter	The picture of a camera set up is being taken by a man on the beach at the sunset	S4_null	A man is taking pictures of a lake	S1_null	3	NEUTRAL	A_neutral_B	B_neutral_A	a man is taking pictures of a lake	the man set up his camera to take sunset pictures at the beach	SEMEVAL	SEMEVAL	TRIAL
2158	S1S2_inter	The man is setting up the camera and taking sunset pictures at the beach	S1_null	A man is attentively taking pictures of a lake	S2_null	3.2	NEUTRAL	A_neutral_B	B_neutral_A	the man set up his camera to take sunset pictures at the beach	a man is taking pictures of a lake	SEMEVAL	SEMEVAL	TEST
2159	S1S3_inter	A man is tearing up the pictures of a lake	S3_null	The man is setting up the camera and taking sunset pictures at the beach	S1_null	2.5	NEUTRAL	A_neutral_B	B_neutral_A	the man set up his camera to take sunset pictures at the beach	a man is taking pictures of a lake	SEMEVAL	SEMEVAL	TEST
2160	S1S4_inter	The picture of a man is being taken near a lake	S4_null	The man is setting up the camera and taking sunset pictures at the beach	S1_null	2.7	NEUTRAL	A_neutral_B	B_neutral_A	the man set up his camera to take sunset pictures at the beach	a man is taking pictures of a lake	SEMEVAL	SEMEVAL	TEST
2161	S1S1_inter	The man is setting up the camera and taking sunset pictures at the beach	S1_null	A man is taking pictures of a lake	S1_null	3.4	NEUTRAL	A_neutral_B	B_neutral_A	a man is taking pictures of a lake	the man set up his camera to take sunset pictures at the beach	SEMEVAL	SEMEVAL	TEST
2163	S1S3_intra	A woman is unstitching with a machine	S3_so	A woman is sewing with a machine	S1_null	3.6	NEUTRAL	A_neutral_B	B_neutral_A	a woman is sewing on a machine	a woman is sewing on a machine	SEMEVAL	SEMEVAL	TRAIN
2164	S1S2_intra	A woman is using a machine made for sewing	S2_expc	A woman is using a sewing machine	S1_null	4.8	ENTAILMENT	A_entails_B	B_entails_A	a woman is using a sewing machine	a woman is using a sewing machine	SEMEVAL	SEMEVAL	TRAIN
2165	S1S3_intra	A woman is using a sewing machine	S1_null	There is no woman using a sewing machine	S3_od	4.1	CONTRADICTION	A_contradicts_B	B_contradicts_A	a woman is using a sewing machine	a woman is using a sewing machine	SEMEVAL	SEMEVAL	TRAIN
2166	S1S2_inter	A woman is sewing with a machine	S1_null	A woman is using a machine made for sewing	S2_null	4.8	ENTAILMENT	A_entails_B	B_entails_A	a woman is sewing on a machine	a woman is using a sewing machine	SEMEVAL	SEMEVAL	TRIAL
2167	S1S3_inter	A woman is sewing with a machine	S1_null	There is no woman using a sewing machine	S3_null	3.2	CONTRADICTION	A_contradicts_B	B_contradicts_A	a woman is sewing on a machine	a woman is using a sewing machine	SEMEVAL	SEMEVAL	TRAIN
2168	S1S2_inter	A woman is sewing with a machine	S2_null	A woman is using a sewing machine	S1_null	4.9	ENTAILMENT	A_entails_B	B_entails_A	a woman is using a sewing machine	a woman is sewing on a machine	SEMEVAL	SEMEVAL	TEST
2169	S1S3_inter	A woman is using a sewing machine	S1_null	A woman is unstitching with a machine	S3_null	4.05	NEUTRAL	A_neutral_B	B_neutral_A	a woman is using a sewing machine	a woman is sewing on a machine	SEMEVAL	SEMEVAL	TEST
2170	S1S1_inter	A woman is using a sewing machine	S1_null	A woman is sewing with a machine	S1_null	5	ENTAILMENT	A_entails_B	B_entails_A	a woman is sewing on a machine	a woman is using a sewing machine	SEMEVAL	SEMEVAL	TRAIN
2171	S1S2_intra	An egg is being cracked into a bowl by a woman	S2_top	A woman is cracking an egg into a bowl	S1_null	5	ENTAILMENT	A_entails_B	B_entails_A	a woman is cracking an egg into a bowl	a woman is cracking an egg into a bowl	SEMEVAL	SEMEVAL	TRAIN
2172	S1S3_intra	A woman is cracking an egg into a bowl	S1_null	There is no woman cracking an egg into a bowl	S3_od	3.8	CONTRADICTION	A_contradicts_B	B_contradicts_A	a woman is cracking an egg into a bowl	a woman is cracking an egg into a bowl	SEMEVAL	SEMEVAL	TRAIN
2173	S1S4_intra	A woman is cracking an egg into a bowl	S1_null	A woman is placing a bowl with a crack near an egg	S4_ws	3.2	NEUTRAL	A_neutral_B	B_neutral_A	a woman is cracking an egg into a bowl	a woman is cracking an egg into a bowl	SEMEVAL	SEMEVAL	TEST
2174	S1S2_intra	The woman is cracking two eggs into a bowl made of glass	S2_expa	The woman is cracking two eggs into a glass bowl	S1_null	5	ENTAILMENT	A_entails_B	B_entails_A	a woman cracks two eggs into a glass bowl	a woman cracks two eggs into a glass bowl	SEMEVAL	SEMEVAL	TEST
2175	S1S3_intra	The woman is cracking two eggs into a glass bowl	S1_null	The woman is not cracking two eggs into a glass bowl	S3_inv	3.3	CONTRADICTION	A_contradicts_B	B_contradicts_A	a woman cracks two eggs into a glass bowl	a woman cracks two eggs into a glass bowl	SEMEVAL	SEMEVAL	TRAIN
2176	S1S2_inter	The woman is cracking two eggs into a bowl made of glass	S2_null	A woman is cracking an egg into a bowl	S1_null	4.5	ENTAILMENT	A_entails_B	B_neutral_A	a woman cracks two eggs into a glass bowl	a woman is cracking an egg into a bowl	SEMEVAL	SEMEVAL	TRAIN
2177	S1S3_inter	A woman is cracking an egg into a bowl	S1_null	The woman is not cracking two eggs into a glass bowl	S3_null	3	NEUTRAL	A_neutral_B	B_neutral_A	a woman is cracking an egg into a bowl	a woman cracks two eggs into a glass bowl	SEMEVAL	SEMEVAL	TEST
2178	S1S2_inter	The woman is cracking two eggs into a glass bowl	S1_null	An egg is being cracked into a bowl by a woman	S2_null	4.2	ENTAILMENT	A_entails_B	B_neutral_A	a woman cracks two eggs into a glass bowl	a woman is cracking an egg into a bowl	SEMEVAL	SEMEVAL	TEST
2179	S1S3_inter	The woman is cracking two eggs into a glass bowl	S1_null	There is no woman cracking an egg into a bowl	S3_null	3.8	CONTRADICTION	A_contradicts_B	B_contradicts_A	a woman cracks two eggs into a glass bowl	a woman is cracking an egg into a bowl	SEMEVAL	SEMEVAL	TRAIN
2180	S1S4_inter	The woman is cracking two eggs into a glass bowl	S1_null	A woman is placing a bowl with a crack near an egg	S4_null	3	NEUTRAL	A_neutral_B	B_neutral_A	a woman cracks two eggs into a glass bowl	a woman is cracking an egg into a bowl	SEMEVAL	SEMEVAL	TRAIN
2181	S1S1_inter	The woman is cracking two eggs into a glass bowl	S1_null	A woman is cracking an egg into a bowl	S1_null	4.3	ENTAILMENT	A_entails_B	B_neutral_A	a woman is cracking an egg into a bowl	a woman cracks two eggs into a glass bowl	SEMEVAL	SEMEVAL	TRAIN
2182	S1S2_intra	A few men are cheerfully playing cricket	S2_aa	A few men are playing cricket	S1_null	4.5	ENTAILMENT	A_entails_B	B_neutral_A	men are playing cricket	men are playing cricket	SEMEVAL	SEMEVAL	TEST
2183	S1S3_intra	A few men are watching cricket	S3_so	A few men are playing cricket	S1_null	3.6	NEUTRAL	A_neutral_B	B_neutral_A	men are playing cricket	men are playing cricket	SEMEVAL	SEMEVAL	TRAIN
2184	S1S2_intra	People are playing cricket	S1_null	Some people are playing cricket	S2_det	4.9	ENTAILMENT	A_entails_B	B_entails_A	people are playing cricket	people are playing cricket	SEMEVAL	SEMEVAL	TRAIN
2185	S1S3_intra	People are not playing cricket	S3_inv	People are playing cricket	S1_null	4	CONTRADICTION	A_contradicts_B	B_contradicts_A	people are playing cricket	people are playing cricket	SEMEVAL	SEMEVAL	TEST
2186	S1S2_inter	A few men are playing cricket	S1_null	Some people are playing cricket	S2_null	4.5	ENTAILMENT	A_entails_B	B_neutral_A	men are playing cricket	people are playing cricket	SEMEVAL	SEMEVAL	TEST
2187	S1S3_inter	A few men are playing cricket	S1_null	People are not playing cricket	S3_null	4.2	CONTRADICTION	A_contradicts_B	B_contradicts_A	men are playing cricket	people are playing cricket	SEMEVAL	SEMEVAL	TEST
2188	S1S2_inter	A few men are cheerfully playing cricket	S2_null	People are playing cricket	S1_null	4.4	ENTAILMENT	A_entails_B	B_neutral_A	people are playing cricket	men are playing cricket	SEMEVAL	SEMEVAL	TRAIN
2189	S1S3_inter	People are playing cricket	S1_null	A few men are watching cricket	S3_null	3.5	NEUTRAL	A_neutral_B	B_neutral_A	people are playing cricket	men are playing cricket	SEMEVAL	SEMEVAL	TEST
2190	S1S1_inter	People are playing cricket	S1_null	A few men are playing cricket	S1_null	4.7	ENTAILMENT	A_entails_B	B_entails_A	men are playing cricket	people are playing cricket	SEMEVAL	SEMEVAL	TEST
2191	S1S2_intra	A man is putting garlic on some slices of bread	S2_expc	A man is putting garlic on some bread slices	S1_null	5	ENTAILMENT	A_entails_B	B_entails_A	a man is putting garlic on some bread slices	a man is putting garlic on some bread slices	SEMEVAL	SEMEVAL	TEST
2192	S1S3_intra	A man is putting garlic on some bread slices	S1_null	A man is removing the garlic from some slices of bread	S3_so	3.165	NEUTRAL	A_contradicts_B	B_neutral_A	a man is putting garlic on some bread slices	a man is putting garlic on some bread slices	SEMEVAL	SEMEVAL	TRAIN
2193	S1S4_intra	A man is slicing some garlic and putting away the bread	S4_ws	A man is putting garlic on some bread slices	S1_null	3.3	NEUTRAL	A_neutral_B	B_neutral_A	a man is putting garlic on some bread slices	a man is putting garlic on some bread slices	SEMEVAL	SEMEVAL	TEST
2194	S1S2_intra	A man is sprinkling seasoning on several sliced and buttered loaves of bread	S1_null	A person is sprinkling seasoning on several sliced and buttered loaves of bread	S2_lex	4.4	ENTAILMENT	A_entails_B	B_neutral_A	a man is sprinkling seasoning on several split and buttered loaves of bread	a man is sprinkling seasoning on several split and buttered loaves of bread	SEMEVAL	SEMEVAL	TEST
2195	S1S3_intra	A man is sprinkling seasoning on several sliced and buttered loaves of bread	S1_null	There is no man sprinkling seasoning on several sliced and buttered loaves of bread	S3_od	3.4	CONTRADICTION	A_contradicts_B	B_contradicts_A	a man is sprinkling seasoning on several split and buttered loaves of bread	a man is sprinkling seasoning on several split and buttered loaves of bread	SEMEVAL	SEMEVAL	TRAIN
2196	S1S2_inter	A man is putting garlic on some bread slices	S1_null	A person is sprinkling seasoning on several sliced and buttered loaves of bread	S2_null	3.5	NEUTRAL	A_neutral_B	B_neutral_A	a man is putting garlic on some bread slices	a man is sprinkling seasoning on several split and buttered loaves of bread	SEMEVAL	SEMEVAL	TRAIN
2197	S1S3_inter	A man is putting garlic on some bread slices	S1_null	There is no man sprinkling seasoning on several sliced and buttered loaves of bread	S3_null	3.1	NEUTRAL	A_neutral_B	B_neutral_A	a man is putting garlic on some bread slices	a man is sprinkling seasoning on several split and buttered loaves of bread	SEMEVAL	SEMEVAL	TEST
2198	S1S2_inter	A man is putting garlic on some slices of bread	S2_null	A man is sprinkling seasoning on several sliced and buttered loaves of bread	S1_null	4.3	ENTAILMENT	A_entails_B	B_neutral_A	a man is putting garlic on some bread slices	a man is sprinkling seasoning on several split and buttered loaves of bread	SEMEVAL	SEMEVAL	TRAIN
2199	S1S3_inter	A man is sprinkling seasoning on several sliced and buttered loaves of bread	S1_null	A man is removing the garlic from some slices of bread	S3_null	2.9	NEUTRAL	A_neutral_B	B_neutral_A	a man is sprinkling seasoning on several split and buttered loaves of bread	a man is putting garlic on some bread slices	SEMEVAL	SEMEVAL	TRAIN
2200	S1S4_inter	A man is sprinkling seasoning on several sliced and buttered loaves of bread	S1_null	A man is slicing some garlic and putting away the bread	S4_null	3	NEUTRAL	A_neutral_B	B_neutral_A	a man is sprinkling seasoning on several split and buttered loaves of bread	a man is putting garlic on some bread slices	SEMEVAL	SEMEVAL	TEST
2201	S1S1_inter	A man is putting garlic on some bread slices	S1_null	A man is sprinkling seasoning on several sliced and buttered loaves of bread	S1_null	3.9	NEUTRAL	A_neutral_B	B_neutral_A	a man is putting garlic on some bread slices	a man is sprinkling seasoning on several split and buttered loaves of bread	SEMEVAL	SEMEVAL	TEST
